,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
15,15,2022-11-16,,OKC,L,120,121,44,86,.512,17,34,.500,15,17,.882,11,41,32,8,5,19,20,,44,81,.543,16,31,.516,17,26,.654,9,37,24,4,7,15,22
16,16,2022-11-18,,MIA,W,107,106,41,96,.427,15,46,.326,10,14,.714,8,54,33,6,4,15,25,,35,98,.357,11,43,.256,25,32,.781,10,53,23,6,4,9,15
17,17,2022-11-20,,CHO,W,106,102,40,93,.430,13,34,.382,13,18,.722,14,49,19,6,13,17,19,,39,100,.390,8,32,.250,16,23,.696,15,51,19,5,5,13,18
18,18,2022-11-23,@,MIA,L,105,113,42,89,.472,10,38,.263,11,19,.579,7,43,27,7,5,14,20,,39,93,.419,16,41,.390,19,22,.864,14,53,20,7,5,12,18
19,19,2022-11-25,@,MIA,L,107,110,40,93,.430,11,39,.282,16,20,.800,13,45,27,7,9,12,18,,42,89,.472,7,26,.269,19,23,.826,10,47,24,5,5,10,19
20,20,2022-11-27,@,BOS,L,121,130,44,82,.537,7,28,.250,26,33,.788,6,29,23,8,1,4,21,,44,80,.550,16,34,.471,26,26,1.000,10,38,25,2,5,14,23
21,21,2022-11-28,,MIN,W,142,127,52,91,.571,15,31,.484,23,27,.852,7,34,31,12,5,7,25,,42,84,.500,7,27,.259,36,42,.857,15,45,20,4,3,18,23
22,22,2022-11-30,@,BRK,L,107,113,39,89,.438,6,24,.250,23,34,.676,14,51,19,6,5,14,21,,39,84,.464,11,26,.423,24,26,.923,4,35,22,8,7,9,25
23,23,2022-12-02,@,CHO,L,116,117,39,86,.453,12,33,.364,26,35,.743,18,56,23,3,9,14,23,,40,95,.421,12,29,.414,25,31,.806,19,45,25,6,3,4,24
24,24,2022-12-04,,LAL,L,119,130,49,105,.467,10,39,.256,11,15,.733,11,44,24,10,8,10,23,,52,96,.542,10,26,.385,16,22,.727,9,51,34,5,5,15,14
25,25,2022-12-07,@,CHI,L,111,115,41,84,.488,9,31,.290,20,29,.690,6,38,22,12,6,18,16,,45,90,.500,10,23,.435,15,17,.882,6,41,29,11,4,19,20
26,26,2022-12-09,@,IND,L,111,121,41,77,.532,10,29,.345,19,25,.760,12,38,25,6,3,14,19,,43,85,.506,18,41,.439,17,20,.850,13,40,23,7,2,11,21
27,27,2022-12-10,,LAC,L,107,114,37,85,.435,16,34,.471,17,19,.895,8,50,24,8,3,14,15,,40,94,.426,19,48,.396,15,16,.938,9,42,22,9,7,10,16
28,28,2022-12-12,,BRK,L,100,112,37,79,.468,11,31,.355,15,22,.682,6,44,21,6,2,19,16,,44,89,.494,8,27,.296,16,18,.889,7,41,25,8,7,11,20
29,29,2022-12-14,@,DEN,L,128,141,48,91,.527,19,39,.487,13,23,.565,4,24,40,10,5,13,28,,54,83,.651,4,16,.250,29,35,.829,7,45,31,8,7,18,17
30,30,2022-12-17,@,LAC,L,93,102,36,84,.429,9,25,.360,12,13,.923,7,42,20,10,2,14,21,,37,86,.430,12,29,.414,16,26,.615,12,49,19,6,5,14,16
31,31,2022-12-18,@,LAL,L,117,119,44,95,.463,10,39,.256,19,24,.792,10,48,24,5,6,10,20,,46,92,.500,11,27,.407,16,22,.727,6,43,29,4,5,9,18
32,32,2022-12-20,@,PHO,W,113,110,38,80,.475,11,27,.407,26,37,.703,9,41,22,9,4,9,14,,41,89,.461,13,32,.406,15,19,.789,15,44,26,2,1,14,23
33,33,2022-12-22,@,UTA,L,112,120,46,82,.561,7,21,.333,13,17,.765,3,37,20,5,2,10,15,,42,86,.488,16,35,.457,20,21,.952,8,40,16,5,3,11,16
34,34,2022-12-23,@,SAC,W,125,111,49,88,.557,10,32,.313,17,24,.708,5,40,30,9,4,9,23,,37,84,.440,10,32,.313,27,35,.771,13,47,19,5,2,13,20
35,35,2022-12-27,,PHI,W,116,111,39,85,.459,11,33,.333,27,31,.871,14,39,18,7,8,15,23,,39,84,.464,6,31,.194,27,31,.871,10,39,21,8,10,15,24
36,36,2022-12-28,,PHO,W,127,102,47,82,.573,8,26,.308,25,28,.893,12,46,27,7,6,12,15,,39,87,.448,13,31,.419,11,16,.688,11,30,25,7,4,11,21
37,37,2022-12-30,@,ORL,W,119,100,42,75,.560,15,35,.429,20,25,.800,4,53,33,4,10,26,18,,42,100,.420,5,27,.185,11,16,.688,8,35,24,8,2,11,18
38,38,2023-01-01,@,MIL,W,118,95,50,94,.532,7,27,.259,11,16,.688,12,54,29,9,6,17,10,,34,96,.354,13,49,.265,14,15,.933,14,44,22,11,3,16,15
39,39,2023-01-03,@,MIL,L,113,123,42,97,.433,8,27,.296,21,23,.913,14,46,27,9,4,10,16,,48,100,.480,11,40,.275,16,17,.941,15,49,27,8,6,12,14
40,40,2023-01-06,@,OKC,L,110,127,38,79,.481,7,24,.292,27,36,.750,11,46,21,6,2,20,18,,50,98,.510,17,37,.459,10,14,.714,11,41,30,9,6,9,26
