 
,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
54,54,2022-02-07,@,OKC,W,110,98,115.2,102.6,95.5,.207,.524,.615,44.4,73.2,12.6,5.6,,.591,14.4,15.8,.159,,.472,14.8,65.4,.144
55,55,2022-02-09,@,UTA,L,85,111,92.5,120.8,91.9,.218,.551,.497,40.2,60.7,8.7,7.9,,.462,11.4,6.8,.167,,.556,8.5,74.4,.135
56,56,2022-02-10,,NYK,L,114,116,116.0,118.0,98.3,.187,.495,.579,42.7,64.3,4.1,9.3,,.544,6.6,12.5,.165,,.511,11.1,67.3,.267
57,57,2022-02-12,,LAL,W,117,115,117.8,115.8,99.3,.378,.422,.557,51.0,60.0,4.0,4.9,,.511,7.9,21.7,.278,,.528,7.2,76.9,.250
58,58,2022-02-14,@,LAC,L,104,119,107.3,122.8,96.9,.151,.477,.567,46.9,59.0,7.2,5.9,,.547,13.2,15.9,.116,,.653,11.6,83.8,.094
59,59,2022-02-16,,DEN,L,116,117,115.5,116.5,100.4,.276,.391,.595,43.5,57.8,12.9,9.1,,.575,9.3,18.2,.184,,.549,15.2,70.7,.187
60,60,2022-02-24,@,POR,W,132,95,131.4,94.6,100.5,.364,.466,.647,59.7,80.0,10.0,15.9,,.597,10.5,28.6,.307,,.449,16.4,85.7,.304
61,61,2022-02-27,,DAL,L,101,107,104.5,110.7,96.7,.220,.429,.506,49.4,69.2,15.5,4.5,,.489,9.1,23.5,.132,,.583,17.2,84.2,.205
62,62,2022-03-01,@,MIN,L,114,129,106.9,120.9,106.7,.244,.500,.572,48.8,63.4,10.3,6.1,,.528,14.6,18.2,.211,,.618,13.9,84.2,.213
63,63,2022-03-03,@,DAL,L,113,122,124.3,134.2,90.9,.160,.370,.652,53.6,59.1,7.7,10.4,,.636,14.7,29.4,.123,,.629,8.8,77.1,.176
64,64,2022-03-05,@,LAL,L,116,124,112.8,120.6,102.8,.207,.370,.578,46.6,47.8,10.7,8.3,,.582,13.8,22.2,.098,,.596,14.8,72.1,.202
65,65,2022-03-07,@,DEN,L,124,131,121.8,128.6,101.8,.261,.455,.632,50.0,64.4,4.9,0.0,,.608,12.5,20.9,.193,,.607,8.1,82.1,.345
66,66,2022-03-08,,LAC,W,112,97,110.6,95.8,101.2,.141,.370,.573,52.0,75.0,7.9,11.1,,.549,14.1,22.2,.120,,.419,11.2,77.4,.204
67,67,2022-03-10,@,DEN,W,113,102,121.3,109.5,93.2,.227,.477,.584,42.4,61.9,9.7,7.5,,.557,6.7,17.8,.170,,.458,10.1,70.0,.298
68,68,2022-03-12,,MIL,W,122,109,127.9,114.3,95.4,.161,.484,.612,58.5,73.3,3.1,14.6,,.581,9.1,27.9,.151,,.505,3.8,84.3,.174
69,69,2022-03-14,,WAS,W,126,112,127.9,113.7,98.5,.262,.536,.673,55.7,57.8,7.1,7.1,,.643,12.2,16.7,.214,,.573,11.5,88.4,.220
70,70,2022-03-16,,BOS,L,88,110,96.2,120.2,91.5,.186,.558,.473,41.8,59.4,8.7,9.8,,.436,7.9,13.5,.151,,.562,9.9,79.5,.235
71,71,2022-03-20,,SAS,L,108,110,114.4,116.5,94.4,.233,.367,.544,56.4,63.4,5.3,1.7,,.517,13.1,42.6,.167,,.464,8.4,68.5,.194
72,72,2022-03-22,@,ORL,L,90,94,95.8,100.0,94.0,.188,.376,.489,55.2,61.8,6.4,7.0,,.465,16.4,26.7,.129,,.494,12.9,85.7,.203
73,73,2022-03-23,@,MIA,W,118,104,128.4,113.1,91.9,.351,.468,.664,57.0,57.5,5.4,4.1,,.617,11.0,21.2,.299,,.518,8.7,82.6,.188
74,74,2022-03-25,@,ATL,L,110,121,115.0,126.6,95.6,.144,.456,.575,51.6,62.8,4.2,1.9,,.556,14.3,30.4,.111,,.596,10.2,73.3,.169
75,75,2022-03-27,@,WAS,L,115,123,115.2,123.3,99.8,.438,.371,.542,52.3,52.6,8.0,3.6,,.472,8.6,26.0,.348,,.619,11.4,86.8,.226
76,76,2022-03-28,@,MEM,L,95,123,93.7,121.3,101.4,.321,.358,.514,43.5,54.5,5.9,11.3,,.463,14.0,15.2,.247,,.533,10.8,71.7,.272
77,77,2022-03-30,,PHO,L,103,107,99.8,103.7,103.2,.301,.458,.548,51.1,74.3,6.8,6.3,,.500,18.3,22.7,.241,,.451,11.7,76.0,.261
78,78,2022-04-02,,UTA,W,111,107,117.6,113.4,94.4,.143,.571,.622,46.6,75.0,5.3,14.0,,.595,11.0,14.6,.131,,.511,10.8,74.5,.180
79,79,2022-04-03,@,SAC,W,109,90,116.1,95.9,93.9,.190,.430,.637,57.3,70.7,8.5,16.7,,.620,14.9,19.4,.139,,.426,11.6,87.0,.259
80,80,2022-04-07,,LAL,W,128,112,120.2,105.2,106.5,.103,.330,.631,51.7,76.5,9.4,9.8,,.608,12.9,20.9,.103,,.500,15.3,81.8,.349
81,81,2022-04-09,@,SAS,W,100,94,104.8,98.6,95.4,.407,.395,.523,55.4,69.7,8.4,2.0,,.457,11.2,26.0,.321,,.463,11.6,90.5,.250
82,82,2022-04-10,@,NOP,W,128,107,135.3,113.1,94.6,.160,.407,.738,49.4,67.3,5.3,3.4,,.722,16.4,22.6,.136,,.495,9.5,65.4,.091
