,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
43,43,2022-01-17,@,SAS,W,121,107,125.7,111.1,96.3,.211,.337,.583,48.9,59.2,9.3,8.1,,.563,4.6,26.1,.147,,.495,10.6,71.7,.174
44,44,2022-01-20,@,DAL,W,109,101,110.1,102.0,99.0,.291,.419,.562,44.4,64.1,13.1,2.1,,.500,6.7,11.1,.267,,.500,16.8,77.8,.188
45,45,2022-01-22,,IND,W,113,103,115.2,105.0,98.1,.146,.260,.553,53.7,72.3,11.2,14.5,,.526,9.7,30.4,.125,,.500,15.1,75.5,.226
46,46,2022-01-24,,UTA,W,115,109,118.8,112.6,96.8,.152,.364,.545,57.3,59.6,10.3,10.0,,.540,11.7,36.7,.081,,.580,12.5,82.5,.185
47,47,2022-01-26,@,UTA,W,105,97,114.8,106.1,91.5,.329,.220,.559,53.0,35.0,6.6,14.3,,.530,6.9,22.5,.220,,.506,13.6,81.4,.215
48,48,2022-01-28,,MIN,W,134,124,134.5,124.5,99.6,.440,.464,.668,56.3,83.7,4.0,3.9,,.631,10.7,25.0,.333,,.567,6.4,83.0,.244
49,49,2022-01-30,,SAS,W,115,110,117.0,112.0,98.3,.124,.330,.562,51.7,64.6,6.1,7.9,,.552,7.3,25.6,.082,,.515,9.6,76.1,.070
50,50,2022-02-01,,BRK,W,121,111,128.0,117.5,94.5,.408,.408,.675,52.9,61.9,8.5,9.8,,.625,14.3,20.6,.342,,.593,10.9,83.3,.185
51,51,2022-02-03,@,ATL,L,115,124,115.1,124.1,99.9,.205,.364,.599,48.8,65.2,11.0,4.5,,.574,9.4,14.6,.159,,.643,13.8,84.6,.190
52,52,2022-02-05,@,WAS,W,95,80,103.4,87.1,91.9,.141,.313,.452,60.4,65.0,6.5,11.5,,.444,8.7,37.0,.071,,.382,8.8,84.6,.176
