,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
61,61,2022-03-02,@,HOU,W,132,127,50,91,.549,15,42,.357,17,24,.708,11,49,32,12,2,19,24,,43,86,.500,21,51,.412,20,30,.667,5,34,27,12,3,16,25
62,62,2022-03-04,@,NOP,L,90,124,31,89,.348,11,41,.268,17,26,.654,22,52,15,7,2,20,14,,50,97,.515,11,36,.306,13,17,.765,15,52,29,11,5,10,23
63,63,2022-03-06,@,OKC,W,116,103,40,89,.449,23,52,.442,13,17,.765,11,48,27,4,4,11,21,,39,92,.424,8,40,.200,17,19,.895,11,47,20,11,9,7,19
64,64,2022-03-07,@,DAL,L,103,111,36,83,.434,12,31,.387,19,24,.792,12,45,22,5,6,13,20,,39,88,.443,17,46,.370,16,20,.800,9,43,19,9,5,9,21
65,65,2022-03-09,,POR,W,123,85,42,81,.519,17,46,.370,22,27,.815,6,50,31,3,5,9,23,,29,89,.326,9,36,.250,18,22,.818,9,36,19,4,2,9,23
66,66,2022-03-11,@,SAS,L,102,104,37,92,.402,13,40,.325,15,23,.652,16,57,20,10,8,17,26,,34,85,.400,6,29,.207,30,43,.698,14,54,15,8,6,13,20
67,67,2022-03-12,,SAC,W,134,125,48,86,.558,16,41,.390,22,31,.710,10,44,21,4,5,9,20,,47,94,.500,13,33,.394,18,21,.857,8,33,27,6,3,7,20
68,68,2022-03-14,,MIL,L,111,117,37,93,.398,17,48,.354,20,24,.833,13,45,21,7,4,13,23,,40,86,.465,12,31,.387,25,29,.862,6,42,21,10,3,12,19
69,69,2022-03-16,,CHI,W,125,110,42,83,.506,19,39,.487,22,29,.759,10,47,20,8,6,16,18,,43,91,.473,12,34,.353,12,17,.706,5,37,28,10,2,12,22
70,70,2022-03-18,,LAC,W,121,92,47,97,.485,16,44,.364,11,14,.786,15,59,30,9,5,12,18,,31,86,.360,11,35,.314,19,21,.905,8,43,23,10,8,12,13
71,71,2022-03-20,@,NYK,W,108,93,34,74,.459,17,46,.370,23,29,.793,9,49,16,9,11,11,17,,31,83,.373,16,40,.400,15,21,.714,10,37,20,7,2,11,19
72,72,2022-03-21,@,BRK,L,106,114,37,83,.446,14,39,.359,18,22,.818,11,37,18,8,7,13,16,,45,83,.542,11,30,.367,13,15,.867,7,41,31,5,4,14,19
73,73,2022-03-23,@,BOS,L,97,125,35,88,.398,8,36,.222,19,21,.905,16,40,13,8,1,14,14,,50,84,.595,19,36,.528,6,7,.857,8,39,37,8,10,12,20
74,74,2022-03-25,@,CHO,L,101,107,38,84,.452,17,47,.362,8,11,.727,9,38,25,7,2,11,16,,41,88,.466,13,34,.382,12,17,.706,16,45,26,7,3,9,17
75,75,2022-03-27,@,DAL,L,100,114,41,89,.461,12,34,.353,6,10,.600,7,36,23,5,1,6,20,,40,77,.519,17,34,.500,17,24,.708,10,45,21,3,2,8,13
76,76,2022-03-29,@,LAC,L,115,121,43,78,.551,12,31,.387,17,29,.586,10,38,23,5,5,14,24,,41,83,.494,15,36,.417,24,28,.857,10,33,21,8,4,8,23
77,77,2022-03-31,,LAL,W,122,109,46,90,.511,15,44,.341,15,24,.625,9,41,25,7,2,8,20,,41,83,.494,7,25,.280,20,28,.714,9,40,18,5,3,11,21
78,78,2022-04-02,@,GSW,L,107,111,38,89,.427,15,46,.326,16,22,.727,12,47,19,8,2,12,17,,40,84,.476,20,48,.417,11,12,.917,6,41,30,5,6,11,22
79,79,2022-04-05,,MEM,W,121,115,40,96,.417,12,38,.316,29,43,.674,13,61,23,8,8,16,21,,39,101,.386,13,31,.419,24,29,.828,10,51,26,13,7,12,29
80,80,2022-04-06,,OKC,W,137,101,49,84,.583,15,36,.417,24,32,.750,16,55,29,7,10,11,13,,37,90,.411,16,37,.432,11,17,.647,11,32,27,9,1,10,22
81,81,2022-04-08,,PHO,L,105,111,35,88,.398,11,38,.289,24,33,.727,15,44,20,8,4,11,18,,46,92,.500,6,19,.316,13,15,.867,11,46,27,7,3,13,25
82,82,2022-04-10,@,POR,W,111,80,37,82,.451,9,36,.250,28,38,.737,15,60,23,8,6,17,16,,31,83,.373,9,34,.265,9,12,.750,5,32,21,11,8,14,27
