,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
45,45,2022-01-19,,OKC,W,118,96,119.1,96.9,99.1,.146,.417,.578,52.1,68.1,9.1,19.4,,.568,8.1,25.6,.094,,.429,11.8,73.6,.122
46,46,2022-01-21,,BRK,L,102,117,107.3,123.1,95.1,.253,.305,.483,48.0,64.9,3.2,9.3,,.432,5.4,28.1,.211,,.525,6.2,73.3,.120
47,47,2022-01-23,,PHI,L,109,115,115.5,121.9,94.4,.247,.337,.552,47.8,71.4,4.2,6.6,,.528,7.5,26.1,.169,,.516,8.9,70.5,.217
48,48,2022-01-25,@,HOU,W,134,104,131.5,102.1,101.9,.059,.317,.646,52.1,65.5,7.9,8.2,,.634,11.1,28.9,.059,,.458,12.4,67.9,.179
49,49,2022-01-26,,MEM,L,110,118,111.5,119.6,98.7,.202,.394,.537,47.0,69.8,9.1,10.4,,.505,11.3,28.9,.160,,.550,11.4,68.4,.211
50,50,2022-01-28,,CHI,W,131,122,132.5,123.4,98.8,.189,.389,.636,54.3,70.0,3.0,1.7,,.611,6.4,23.3,.158,,.568,5.7,89.5,.250
51,51,2022-01-30,@,PHO,L,110,115,112.0,117.0,98.3,.080,.370,.531,48.3,60.0,6.1,4.6,,.515,9.6,23.9,.070,,.552,7.3,74.4,.082
52,52,2022-02-01,,GSW,L,120,124,122.3,126.4,98.1,.205,.398,.663,42.5,71.7,7.1,14.0,,.651,13.4,13.9,.145,,.552,11.9,65.9,.188
53,53,2022-02-03,,MIA,L,95,112,98.1,115.7,96.8,.475,.413,.491,50.6,70.0,9.3,9.4,,.425,14.9,25.5,.338,,.578,12.5,81.6,.193
54,54,2022-02-04,,HOU,W,131,106,132.5,107.2,98.9,.225,.315,.670,55.7,64.7,14.2,10.0,,.646,10.9,29.7,.180,,.500,15.1,78.6,.277
55,55,2022-02-09,@,CLE,L,92,105,95.7,109.2,96.1,.111,.333,.443,47.4,63.2,8.3,6.6,,.424,11.1,26.8,.081,,.530,12.3,75.6,.220
56,56,2022-02-11,@,ATL,W,136,121,129.3,115.0,105.2,.233,.356,.685,45.6,74.0,10.5,6.7,,.656,12.4,13.5,.200,,.524,11.3,67.9,.126
57,57,2022-02-12,@,NOP,W,124,114,127.3,117.0,97.4,.204,.398,.612,42.5,55.3,9.2,9.1,,.581,4.7,16.3,.172,,.557,13.5,73.0,.195
58,58,2022-02-14,@,CHI,L,109,120,107.4,118.3,101.5,.228,.217,.538,38.4,63.6,8.9,3.1,,.511,6.5,8.5,.163,,.580,13.4,74.4,.205
59,59,2022-02-16,@,OKC,W,114,106,110.7,103.0,102.9,.224,.347,.529,53.3,67.4,2.9,9.6,,.490,10.8,28.6,.184,,.443,6.6,74.1,.124
60,60,2022-02-25,@,WAS,W,157,153,130.7,127.3,99.4,.410,.276,.633,56.2,61.4,5.0,4.3,,.586,12.1,36.4,.324,,.620,11.2,75.6,.176
61,61,2022-02-26,@,MIA,L,129,133,122.9,126.7,105.0,.211,.344,.656,59.0,66.0,4.8,1.8,,.633,16.9,30.0,.167,,.639,9.9,89.5,.325
62,62,2022-02-28,@,MEM,L,105,118,105.1,118.1,99.9,.192,.323,.489,40.9,73.2,13.0,4.8,,.460,7.7,22.2,.141,,.601,14.1,66.7,.124
63,63,2022-03-03,,SAC,L,112,115,109.6,112.6,102.2,.172,.344,.560,44.9,60.9,7.8,9.4,,.559,9.9,13.0,.086,,.518,11.6,79.1,.318
64,64,2022-03-05,@,CHO,L,117,123,116.0,122.0,100.8,.204,.378,.548,50.5,62.2,6.9,12.2,,.515,8.6,25.0,.163,,.549,8.0,77.6,.253
65,65,2022-03-07,,LAL,W,117,110,115.4,108.5,101.4,.357,.310,.602,52.2,60.9,5.9,10.8,,.601,14.1,27.9,.190,,.516,12.9,74.5,.176
66,66,2022-03-09,,TOR,L,104,119,111.1,127.1,93.6,.238,.381,.560,43.4,63.2,5.3,7.3,,.506,11.5,17.1,.226,,.547,9.3,69.0,.306
67,67,2022-03-11,,UTA,W,104,102,102.6,100.6,101.3,.506,.341,.500,48.6,44.1,7.9,11.5,,.435,11.1,25.5,.353,,.473,14.3,71.4,.163
68,68,2022-03-12,,IND,L,108,119,107.8,118.8,100.2,.157,.333,.495,52.5,66.7,6.0,5.4,,.466,8.4,28.3,.127,,.565,10.8,80.4,.163
69,69,2022-03-14,,MIN,L,139,149,125.5,134.5,110.8,.268,.361,.641,47.4,63.5,4.5,19.3,,.603,12.2,21.4,.227,,.672,12.6,79.4,.311
70,70,2022-03-16,,OKC,W,122,120,120.8,118.9,101.0,.204,.418,.571,50.5,72.1,9.9,4.3,,.536,10.1,28.8,.173,,.604,15.2,76.7,.256
71,71,2022-03-18,,NOP,L,91,124,90.5,123.3,100.6,.225,.494,.465,40.8,68.8,5.0,6.5,,.421,14.1,15.1,.180,,.573,8.0,71.1,.146
72,72,2022-03-20,@,GSW,W,110,108,116.5,114.4,94.4,.255,.408,.505,43.6,65.8,7.4,3.5,,.464,8.4,31.5,.194,,.517,13.1,57.4,.167
73,73,2022-03-23,@,POR,W,133,96,130.9,94.5,101.6,.255,.468,.636,55.2,73.9,7.9,16.2,,.590,11.1,31.1,.234,,.420,13.6,76.5,.181
74,74,2022-03-26,@,NOP,W,107,103,116.6,112.2,91.8,.272,.283,.519,53.8,56.4,4.4,10.3,,.462,8.8,34.8,.239,,.500,7.5,73.3,.144
75,75,2022-03-28,@,HOU,W,123,120,118.4,115.5,103.9,.280,.290,.548,56.0,59.6,10.6,11.6,,.505,9.7,33.3,.220,,.522,10.3,79.6,.261
76,76,2022-03-30,,MEM,L,111,112,118.3,119.4,93.8,.193,.422,.616,48.1,61.9,8.5,1.9,,.590,13.5,20.0,.157,,.571,11.1,71.4,.088
77,77,2022-04-01,,POR,W,130,111,133.6,114.0,97.3,.346,.457,.697,51.2,73.9,9.2,10.5,,.667,13.0,21.1,.272,,.527,9.0,75.0,.152
78,78,2022-04-03,,POR,W,113,92,117.5,95.7,96.2,.357,.500,.581,56.7,65.8,9.4,2.6,,.536,11.0,23.8,.274,,.488,13.4,85.4,.119
79,79,2022-04-05,@,DEN,W,116,97,112.8,94.3,102.8,.270,.292,.583,48.5,70.5,5.8,4.6,,.562,9.1,10.9,.180,,.454,9.6,81.1,.082
80,80,2022-04-07,@,MIN,L,121,127,116.2,121.9,104.2,.382,.315,.582,48.9,72.1,4.8,11.6,,.539,10.3,19.0,.281,,.531,8.4,74.0,.260
81,81,2022-04-09,,GSW,L,94,100,98.6,104.8,95.4,.338,.388,.512,44.6,59.4,5.2,6.1,,.463,11.6,9.5,.250,,.457,11.2,74.0,.321
82,82,2022-04-10,@,DAL,L,120,130,121.9,132.1,98.4,.258,.348,.605,44.9,60.5,15.2,6.1,,.545,7.5,17.5,.258,,.659,14.4,73.7,.212
