,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
61,61,2022-02-26,,SAS,W,133,129,47,83,.566,12,28,.429,27,38,.711,4,32,25,8,3,11,20,,50,90,.556,14,31,.452,15,19,.789,12,46,33,5,1,20,31
62,62,2022-02-28,,CHI,W,112,99,40,81,.494,12,31,.387,20,26,.769,9,39,28,8,5,14,18,,41,84,.488,7,29,.241,10,15,.667,5,38,23,9,4,14,24
63,63,2022-03-02,@,MIL,L,119,120,44,97,.454,21,44,.477,10,12,.833,9,48,28,9,4,10,22,,41,91,.451,14,36,.389,24,27,.889,11,52,22,7,3,12,16
64,64,2022-03-03,@,BRK,W,113,107,40,77,.519,10,30,.333,23,28,.821,5,35,27,8,6,13,22,,39,83,.470,12,31,.387,17,22,.773,7,30,24,5,5,13,24
65,65,2022-03-05,,PHI,W,99,82,35,72,.486,13,28,.464,16,19,.842,6,38,20,6,3,13,19,,28,82,.341,7,41,.171,19,23,.826,13,41,13,9,4,9,17
66,66,2022-03-07,,HOU,W,123,106,49,91,.538,14,31,.452,11,14,.786,13,50,26,3,4,15,17,,39,88,.443,13,43,.302,15,22,.682,9,33,22,8,7,10,24
67,67,2022-03-09,,PHO,L,90,111,35,88,.398,10,33,.303,10,13,.769,6,38,27,8,5,14,9,,45,99,.455,11,37,.297,10,10,1.000,14,55,26,8,5,14,18
68,68,2022-03-11,,CLE,W,117,105,41,86,.477,11,35,.314,24,27,.889,8,42,28,9,6,9,26,,35,79,.443,8,25,.320,27,29,.931,7,40,25,5,2,17,23
69,69,2022-03-12,,MIN,L,104,113,35,88,.398,15,45,.333,19,25,.760,11,53,23,7,1,18,24,,35,83,.422,15,42,.357,28,32,.875,6,46,21,12,5,14,19
70,70,2022-03-15,,DET,W,105,98,29,72,.403,12,33,.364,35,39,.897,7,44,20,1,1,11,21,,37,80,.463,10,34,.294,14,22,.636,6,39,23,6,5,12,30
71,71,2022-03-18,,OKC,W,120,108,46,95,.484,18,51,.353,10,12,.833,11,46,25,5,0,6,19,,40,84,.476,10,34,.294,18,23,.783,11,47,19,4,5,10,10
