,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
68,68,2023-03-15,,SAC,L,114,117,109.2,112.1,104.4,.258,.433,.528,51.6,73.7,12.5,11.1,,.474,11.5,24.5,.227,,.603,17.3,87.5,.295
69,69,2023-03-17,,MIN,W,139,131,124.6,117.4,92.3,.319,.255,.648,48.5,45.1,8.1,10.3,,.601,9.3,14.3,.277,,.550,11.7,74.5,.210
70,70,2023-03-18,,MIA,W,113,99,130.2,114.1,86.8,.075,.425,.684,45.1,75.6,9.2,11.1,,.669,10.8,16.7,.075,,.488,12.3,65.9,.232
71,71,2023-03-20,@,PHI,W,109,105,100.0,96.4,90.2,.309,.351,.510,43.8,51.3,11.0,13.0,,.452,8.6,8.2,.255,,.478,16.0,80.9,.211
72,72,2023-03-22,,PHI,L,91,116,96.6,123.1,94.2,.265,.301,.491,48.8,52.9,7.4,8.9,,.446,17.0,31.3,.205,,.573,13.8,71.1,.268
73,73,2023-03-24,@,POR,W,124,96,131.4,101.7,94.4,.167,.333,.688,60.3,68.8,6.4,14.5,,.673,15.1,32.4,.131,,.465,11.3,81.8,.186
74,74,2023-03-26,@,LAL,W,118,108,125.0,114.4,94.4,.149,.356,.636,52.5,68.1,8.5,5.1,,.621,8.8,21.1,.115,,.593,17.1,81.0,.253
75,75,2023-03-27,@,LAC,L,112,124,116.8,129.3,95.9,.256,.280,.614,47.9,59.1,9.4,7.3,,.591,13.3,20.5,.183,,.716,14.6,81.3,.099
76,76,2023-03-29,,LAL,L,110,121,110.9,122.0,99.2,.148,.375,.587,41.6,68.9,10.1,6.1,,.563,13.0,15.8,.125,,.564,13.1,66.7,.279
77,77,2023-03-31,@,CHO,W,121,91,126.8,95.4,95.4,.250,.352,.619,53.8,55.6,12.6,10.0,,.585,6.7,22.0,.205,,.545,20.5,89.2,.091
78,78,2023-04-02,,MEM,W,128,107,130.2,108.9,98.3,.234,.330,.617,43.4,58.0,9.2,14.6,,.580,1.0,9.3,.202,,.577,16.8,80.0,.119
79,79,2023-04-04,,ATL,L,105,123,105.3,123.4,99.7,.225,.348,.537,40.0,39.0,8.0,10.3,,.500,7.6,12.8,.180,,.616,14.5,78.8,.198
80,80,2023-04-05,@,MIL,L,92,105,97.3,111.0,94.6,.133,.398,.524,41.8,77.8,10.6,6.5,,.500,14.6,11.1,.108,,.522,11.0,71.7,.098
81,81,2023-04-07,@,DAL,W,115,112,115.9,112.9,99.2,.205,.352,.599,53.8,52.2,6.0,10.5,,.585,11.1,18.2,.136,,.548,8.4,85.7,.108
82,82,2023-04-09,,DET,W,103,81,107.0,84.1,96.3,.232,.316,.492,44.9,52.5,15.6,13.5,,.453,2.8,20.0,.179,,.418,20.9,71.2,.118
