,Date,Time,Home_Team,Home_Pts,Away_Team,Away_Points
0,2023-11-24,8:00p,DET,,IND,
0,2023-11-24,8:00p,WAS,,MIL,
0,2023-11-24,8:00p,SAC,,MIN,
0,2023-11-24,10:00p,SAS,,GSW,
0,2023-11-24,10:30p,NOP,,LAC,
0,2023-11-25,5:00p,PHI,,OKC,
0,2023-11-25,6:00p,MIA,,BRK,
0,2023-11-25,7:00p,ATL,,WAS,
0,2023-11-25,7:30p,LAL,,CLE,
0,2023-11-25,9:30p,NOP,,UTA,
0,2023-11-25,10:30p,DAL,,LAC,
0,2023-11-26,3:30p,POR,,MIL,
0,2023-11-26,6:00p,ATL,,BOS,
0,2023-11-26,6:00p,MIN,,MEM,
0,2023-11-26,6:00p,PHO,,NYK,
0,2023-11-26,6:00p,CHO,,ORL,
0,2023-11-26,7:30p,CHI,,BRK,
0,2023-11-26,7:30p,TOR,,CLE,
0,2023-11-26,8:00p,SAS,,DEN,
0,2023-11-27,7:00p,WAS,,DET,
0,2023-11-27,7:00p,POR,,IND,
0,2023-11-27,7:00p,LAL,,PHI,
0,2023-11-27,9:00p,NOP,,UTA,
0,2023-11-27,10:30p,DEN,,LAC,
0,2023-11-28,7:30p,CHI,,BOS,
0,2023-11-28,7:30p,TOR,,BRK,
0,2023-11-28,7:30p,ATL,,CLE,
0,2023-11-28,7:30p,MIL,,MIA,
0,2023-11-28,7:30p,CHO,,NYK,
0,2023-11-28,8:00p,OKC,,MIN,
0,2023-11-28,8:30p,HOU,,DAL,
0,2023-11-28,10:00p,GSW,,SAC,
0,2023-11-29,7:00p,LAL,,DET,
0,2023-11-29,7:00p,WAS,,ORL,
0,2023-11-29,7:30p,PHO,,TOR,
0,2023-11-29,8:00p,UTA,,MEM,
0,2023-11-29,8:00p,PHI,,NOP,
0,2023-11-29,9:00p,HOU,,DEN,
0,2023-11-29,10:00p,LAC,,SAC,
0,2023-11-30,7:00p,POR,,CLE,
0,2023-11-30,7:30p,CHO,,BRK,
0,2023-11-30,7:30p,IND,,MIA,
0,2023-11-30,7:30p,DET,,NYK,
0,2023-11-30,8:00p,MIL,,CHI,
0,2023-11-30,8:00p,UTA,,MIN,
0,2023-11-30,8:00p,LAL,,OKC,
0,2023-11-30,8:00p,ATL,,SAS,
0,2023-11-30,10:00p,LAC,,GSW,
0,2023-12-01,7:00p,WAS,,ORL,
0,2023-12-01,7:30p,PHI,,BOS,
0,2023-12-01,7:30p,MEM,,DAL,
0,2023-12-01,7:30p,NYK,,TOR,
0,2023-12-01,8:00p,SAS,,NOP,
0,2023-12-01,10:00p,DEN,,PHO,
0,2023-12-02,4:00p,GSW,,LAC,
0,2023-12-02,5:00p,MIN,,CHO,
0,2023-12-02,7:00p,ORL,,BRK,
0,2023-12-02,7:00p,CLE,,DET,
0,2023-12-02,8:00p,NOP,,CHI,
