,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
48,48,2022-01-28,,DEN,L,105,116,104.1,115.1,100.8,.367,.378,.502,50.0,65.7,13.9,8.2,,.417,11.1,29.2,.333,,.573,18.4,76.3,.268
49,49,2022-01-29,,BOS,L,97,107,103.5,114.2,93.7,.280,.390,.526,48.2,61.1,8.5,0.0,,.488,12.4,19.6,.207,,.617,14.0,83.8,.086
50,50,2022-01-31,@,CLE,L,90,93,101.6,105.0,88.5,.247,.353,.478,58.0,78.8,6.8,15.1,,.424,12.1,34.8,.212,,.482,9.1,83.3,.143
51,51,2022-02-01,@,DET,W,111,101,113.2,103.0,98.1,.315,.315,.548,56.8,61.5,8.2,9.6,,.483,12.9,35.6,.281,,.536,16.6,83.3,.131
52,52,2022-02-04,@,DEN,W,113,105,122.9,114.2,91.9,.307,.333,.664,55.1,64.3,8.7,13.5,,.613,14.1,17.2,.280,,.571,14.9,82.5,.205
53,53,2022-02-06,@,HOU,W,120,107,123.2,109.8,97.4,.468,.377,.646,50.0,70.7,12.3,10.3,,.610,9.7,15.2,.338,,.571,14.9,84.8,.131
54,54,2022-02-08,,HOU,W,110,97,111.1,98.0,99.0,.250,.400,.619,47.8,64.3,10.1,22.7,,.575,17.6,21.6,.225,,.448,17.4,66.0,.233
55,55,2022-02-10,,MIA,L,97,112,104.1,120.2,93.1,.188,.482,.527,47.6,52.8,8.6,12.2,,.488,15.6,27.3,.165,,.543,12.2,71.1,.296
56,56,2022-02-12,,SAS,L,114,124,117.0,127.3,97.4,.230,.368,.595,57.5,51.2,2.1,7.1,,.557,13.5,27.0,.195,,.581,4.7,83.7,.172
57,57,2022-02-14,,TOR,W,120,90,130.8,98.1,91.7,.208,.455,.714,51.6,80.0,4.4,11.5,,.688,13.4,13.8,.182,,.347,5.2,69.4,.253
58,58,2022-02-15,,MEM,L,109,121,112.7,125.1,96.7,.227,.295,.563,41.0,45.5,7.2,8.3,,.523,13.4,26.2,.193,,.553,10.2,56.1,.181
59,59,2022-02-17,,DAL,L,118,125,125.2,132.6,94.2,.228,.304,.583,55.8,47.8,7.4,0.0,,.565,11.4,35.4,.152,,.652,7.9,81.6,.220
60,60,2022-02-25,@,PHO,W,117,102,121.3,105.7,96.5,.471,.333,.557,58.9,55.3,10.4,9.5,,.483,8.7,34.8,.379,,.512,13.1,84.1,.220
61,61,2022-02-27,@,LAL,W,123,95,116.8,90.2,105.3,.272,.326,.597,57.3,61.7,15.2,6.0,,.582,12.7,27.9,.174,,.458,19.9,84.8,.214
62,62,2022-03-02,,SAC,W,125,95,126.9,96.4,98.5,.136,.330,.670,56.8,57.7,5.1,9.3,,.653,13.9,21.2,.114,,.438,9.9,78.2,.191
63,63,2022-03-04,,UTA,W,124,90,128.3,93.1,96.6,.175,.371,.593,50.0,58.0,11.4,10.4,,.572,8.7,33.3,.134,,.410,16.6,62.7,.191
64,64,2022-03-06,@,DEN,L,130,138,117.8,125.0,99.9,.287,.327,.571,51.0,62.5,8.2,7.4,,.545,11.0,27.5,.198,,.598,12.4,77.8,.391
65,65,2022-03-08,@,MEM,L,111,132,108.6,129.2,102.2,.307,.386,.556,46.4,58.5,8.8,5.3,,.528,12.3,24.5,.205,,.554,9.0,68.8,.198
66,66,2022-03-09,,ORL,L,102,108,104.0,110.1,98.1,.194,.333,.505,47.7,56.1,11.2,5.1,,.478,9.8,20.8,.140,,.566,17.1,81.6,.289
67,67,2022-03-11,,CHO,L,120,142,118.9,140.7,100.9,.291,.453,.619,51.3,72.1,8.9,5.0,,.587,14.9,28.9,.221,,.724,12.8,81.8,.184
68,68,2022-03-13,,HOU,W,130,105,128.0,103.4,101.6,.366,.344,.602,53.6,62.5,16.7,6.5,,.570,8.5,31.8,.258,,.584,21.4,77.5,.195
