,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
42,42,2023-01-12,@,MIA,L,102,108,35,87,.402,22,57,.386,10,15,.667,8,39,20,10,2,10,12,,42,95,.442,9,34,.265,15,16,.938,18,61,22,8,1,13,8
43,43,2023-01-14,@,MIA,L,95,111,34,84,.405,19,48,.396,8,12,.667,7,32,26,7,2,10,13,,45,87,.517,11,22,.500,10,12,.833,13,51,17,9,3,11,14
44,44,2023-01-16,,IND,W,132,119,48,91,.527,23,46,.500,13,15,.867,9,41,32,9,1,13,14,,43,84,.512,19,40,.475,14,15,.933,4,37,29,6,5,15,17
45,45,2023-01-17,,TOR,W,130,122,46,86,.535,19,39,.487,19,21,.905,6,42,24,5,5,11,19,,46,101,.455,13,35,.371,17,27,.630,20,50,20,7,5,9,14
46,46,2023-01-21,@,CLE,L,102,114,39,86,.453,14,39,.359,10,11,.909,7,36,24,3,6,14,17,,48,86,.558,7,22,.318,11,17,.647,9,41,33,9,3,9,13
47,47,2023-01-23,@,DET,W,150,130,55,98,.561,23,52,.442,17,24,.708,13,50,38,11,6,18,27,,43,87,.494,13,32,.406,31,40,.775,11,41,26,10,3,20,21
48,48,2023-01-25,,DEN,W,107,99,37,78,.474,13,30,.433,20,28,.714,7,49,16,11,7,22,15,,38,97,.392,11,34,.324,12,16,.750,15,51,21,9,5,19,21
49,49,2023-01-27,@,IND,W,141,131,52,98,.531,18,43,.419,19,31,.613,14,50,32,11,3,16,20,,49,89,.551,13,33,.394,20,28,.714,5,38,22,10,4,13,24
50,50,2023-01-29,,NOP,W,135,110,53,96,.552,17,43,.395,12,20,.600,12,57,27,7,4,11,18,,41,93,.441,13,34,.382,15,21,.714,8,38,25,7,3,12,20
51,51,2023-01-31,,CHO,W,124,115,43,105,.410,15,44,.341,23,27,.852,16,66,18,7,8,12,21,,42,111,.378,11,39,.282,20,26,.769,18,62,27,6,6,11,24
52,52,2023-02-02,,LAC,W,106,105,39,90,.433,9,37,.243,19,27,.704,8,53,16,2,0,10,17,,39,95,.411,13,36,.361,14,20,.700,9,49,15,8,4,7,22
53,53,2023-02-04,,MIA,W,123,115,46,88,.523,14,40,.350,17,28,.607,10,51,23,6,4,12,14,,45,101,.446,8,31,.258,17,21,.810,13,44,23,9,2,7,23
54,54,2023-02-06,@,POR,W,127,108,47,87,.540,16,42,.381,17,21,.810,7,55,27,4,2,14,27,,37,91,.407,9,36,.250,25,29,.862,1,28,23,5,2,8,20
55,55,2023-02-09,@,LAL,W,115,106,45,99,.455,12,47,.255,13,18,.722,16,51,24,5,7,10,20,,42,89,.472,7,18,.389,15,21,.714,11,43,23,2,2,12,19
56,56,2023-02-10,@,LAC,W,119,106,45,90,.500,17,39,.436,12,16,.750,9,49,28,8,4,11,13,,42,85,.494,11,33,.333,11,14,.786,3,35,17,5,7,9,12
57,57,2023-02-14,,BOS,W,131,125,43,90,.478,18,42,.429,27,35,.771,10,52,29,6,3,18,23,,46,99,.465,17,50,.340,16,20,.800,8,44,28,8,1,13,26
58,58,2023-02-16,@,CHI,W,112,100,40,88,.455,18,47,.383,14,18,.778,9,52,24,4,7,8,16,,37,97,.381,10,32,.313,16,21,.762,15,51,19,4,2,5,17
59,59,2023-02-24,,MIA,W,128,99,47,98,.480,19,46,.413,15,19,.789,10,57,27,6,1,10,18,,36,92,.391,9,40,.225,18,25,.720,9,45,21,5,5,10,17
60,60,2023-02-26,,PHO,W,104,101,38,87,.437,13,45,.289,15,21,.714,11,45,15,4,7,11,20,,40,95,.421,8,24,.333,13,22,.591,19,55,21,4,5,12,22
61,61,2023-02-28,@,BRK,W,118,104,50,102,.490,14,37,.378,4,12,.333,11,55,32,10,3,17,21,,36,83,.434,12,36,.333,20,25,.800,3,38,25,12,6,17,19
62,62,2023-03-01,,ORL,W,139,117,49,94,.521,26,56,.464,15,19,.789,8,46,29,4,1,8,23,,43,94,.457,9,33,.273,22,29,.759,12,50,22,3,5,13,18
63,63,2023-03-04,,PHI,L,130,133,44,83,.530,17,34,.500,25,28,.893,11,43,30,3,3,13,23,,42,84,.500,18,37,.486,31,37,.838,9,32,24,5,1,5,21
64,64,2023-03-05,@,WAS,W,117,111,39,83,.470,22,49,.449,17,22,.773,7,45,30,5,6,12,15,,46,108,.426,8,31,.258,11,12,.917,20,56,21,8,2,9,19
65,65,2023-03-07,@,ORL,W,134,123,46,78,.590,10,28,.357,32,34,.941,3,38,28,5,5,16,18,,50,100,.500,9,30,.300,14,19,.737,10,38,24,7,0,13,22
66,66,2023-03-09,,BRK,W,118,113,44,104,.423,19,50,.380,11,14,.786,20,61,33,8,12,16,14,,41,104,.394,14,36,.389,17,17,1.000,15,47,20,10,4,13,12
67,67,2023-03-11,@,GSW,L,116,125,43,100,.430,21,51,.412,9,11,.818,7,48,28,9,7,17,14,,46,112,.411,23,55,.418,10,11,.909,18,65,33,12,4,15,15
68,68,2023-03-13,@,SAC,W,133,124,50,86,.581,15,33,.455,18,22,.818,5,43,29,2,4,12,18,,46,104,.442,21,50,.420,11,15,.733,15,45,31,4,2,9,21
