,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
50,50,2023-01-28,@,BOS,L,121,125,112.5,116.2,97.4,.190,.400,.532,50.5,63.8,3.7,0.0,,.505,9.5,22.0,.143,,.542,10.6,83.7,.405
51,51,2023-01-30,@,BRK,L,104,121,104.4,121.5,99.6,.416,.326,.494,51.5,68.6,1.0,5.6,,.455,11.7,29.6,.258,,.558,8.0,75.5,.158
52,52,2023-01-31,@,NYK,W,129,123,122.5,116.8,95.3,.333,.355,.605,49.4,60.4,5.7,1.6,,.575,11.6,25.6,.237,,.485,7.4,71.7,.286
53,53,2023-02-02,@,IND,W,112,111,107.3,106.4,104.3,.337,.239,.530,52.6,69.0,7.7,9.6,,.489,11.0,24.5,.239,,.570,14.3,86.4,.054
54,54,2023-02-04,@,NOP,L,126,131,123.7,128.6,101.9,.351,.340,.581,47.8,66.7,3.9,4.3,,.537,7.7,27.7,.266,,.565,8.4,68.9,.180
55,55,2023-02-07,,OKC,L,130,133,121.0,123.7,107.5,.306,.365,.674,52.6,55.1,7.4,5.0,,.659,17.2,16.7,.212,,.612,10.5,83.3,.191
56,56,2023-02-09,,MIL,L,106,115,109.1,118.4,97.2,.236,.202,.539,45.7,54.8,2.1,3.8,,.511,10.9,23.9,.169,,.515,8.6,66.7,.131
57,57,2023-02-11,@,GSW,W,109,103,103.7,98.0,105.1,.292,.281,.543,54.7,47.5,3.8,7.7,,.494,13.0,21.7,.236,,.479,12.9,85.7,.115
58,58,2023-02-13,@,POR,L,115,127,114.8,126.8,100.2,.221,.389,.552,57.1,57.1,6.0,10.0,,.505,11.1,29.2,.200,,.593,6.4,84.0,.124
59,59,2023-02-15,,NOP,W,120,102,119.2,101.4,100.6,.434,.446,.607,46.2,72.7,5.0,12.5,,.590,9.2,14.0,.265,,.478,13.1,74.0,.191
60,60,2023-02-23,,GSW,W,124,111,119.6,107.1,103.7,.395,.349,.614,54.7,71.4,7.7,5.4,,.581,12.2,24.4,.279,,.448,8.0,73.8,.162
61,61,2023-02-26,@,DAL,W,111,108,110.1,107.2,100.8,.289,.351,.508,53.8,59.5,8.9,9.1,,.464,8.4,31.5,.216,,.527,13.9,78.0,.108
62,62,2023-02-28,@,MEM,L,109,121,101.7,112.9,107.2,.267,.395,.567,54.4,57.9,4.7,12.3,,.517,21.3,29.8,.233,,.482,4.8,75.0,.116
63,63,2023-03-01,@,OKC,W,123,117,126.2,120.0,97.5,.488,.438,.633,49.4,57.9,8.2,15.7,,.575,11.8,25.0,.388,,.544,9.8,72.1,.198
64,64,2023-03-03,,MIN,L,102,110,104.8,113.0,97.3,.276,.356,.523,47.1,63.9,8.2,3.6,,.471,13.3,23.4,.230,,.551,11.9,75.0,.135
65,65,2023-03-05,,GSW,W,113,105,113.7,105.6,99.4,.232,.347,.540,52.3,69.0,3.0,7.7,,.500,6.3,22.2,.189,,.495,10.8,83.7,.165
66,66,2023-03-07,,MEM,W,112,103,105.8,97.3,105.8,.322,.311,.545,55.9,65.9,3.8,3.6,,.494,11.2,15.2,.256,,.435,6.2,89.3,.237
67,67,2023-03-10,,TOR,W,122,112,122.2,112.2,99.8,.238,.375,.690,48.6,62.2,8.0,12.5,,.644,18.5,15.6,.238,,.554,11.7,75.0,.109
68,68,2023-03-12,,NYK,L,108,112,115.0,119.2,93.9,.191,.404,.560,44.6,55.8,6.4,3.9,,.551,10.2,22.7,.112,,.540,10.2,69.2,.193
69,69,2023-03-14,@,NOP,W,123,108,126.5,111.1,97.2,.341,.476,.652,55.9,60.0,8.2,3.6,,.598,15.3,36.6,.305,,.485,10.1,71.2,.133
70,70,2023-03-15,@,HOU,L,110,114,113.1,117.2,97.3,.411,.489,.518,41.4,61.8,7.2,5.0,,.439,7.0,23.9,.344,,.573,14.9,61.0,.135
71,71,2023-03-17,,DAL,L,110,111,118.3,119.4,93.0,.369,.238,.563,54.5,53.5,8.6,6.7,,.542,10.9,31.7,.226,,.608,13.0,80.6,.190
72,72,2023-03-19,,ORL,W,111,105,112.5,106.4,98.7,.410,.410,.603,54.2,69.4,2.0,14.1,,.545,14.0,22.5,.333,,.451,6.8,76.8,.127
73,73,2023-03-22,,PHO,W,122,111,123.9,112.8,98.4,.657,.243,.676,48.0,69.2,7.1,3.4,,.614,12.6,15.6,.514,,.533,14.7,72.1,.167
74,74,2023-03-24,,OKC,W,116,111,120.8,115.6,96.0,.308,.374,.561,54.1,47.6,9.4,7.1,,.527,9.6,32.7,.220,,.511,9.1,75.5,.185
75,75,2023-03-26,,CHI,L,108,118,114.4,125.0,94.4,.373,.480,.618,47.5,63.2,5.3,7.1,,.593,17.1,19.0,.253,,.621,8.8,78.9,.115
76,76,2023-03-29,@,CHI,W,121,110,122.0,110.9,99.2,.349,.233,.610,58.4,48.9,10.1,5.5,,.564,13.1,33.3,.279,,.563,13.0,84.2,.125
77,77,2023-03-31,@,MIN,W,123,111,119.7,108.0,102.8,.333,.244,.596,57.6,62.2,9.7,8.9,,.550,13.4,35.7,.267,,.500,13.4,76.0,.168
78,78,2023-04-02,@,HOU,W,134,109,138.8,112.9,96.5,.301,.323,.636,53.7,69.2,4.1,11.8,,.608,4.5,28.2,.226,,.495,7.0,71.4,.078
79,79,2023-04-04,@,UTA,W,135,133,125.0,123.1,97.8,.365,.354,.606,51.8,56.3,5.6,12.3,,.563,9.0,23.9,.281,,.606,10.4,84.6,.267
80,80,2023-04-05,@,LAC,L,118,125,117.4,124.3,100.6,.270,.326,.593,53.7,60.0,4.0,6.5,,.573,12.3,23.3,.180,,.622,11.3,87.2,.280
81,81,2023-04-07,,PHO,W,121,107,117.4,103.8,103.0,.185,.391,.608,53.5,55.6,5.8,8.8,,.587,13.1,22.7,.141,,.457,7.6,77.2,.115
82,82,2023-04-09,,UTA,W,128,117,121.6,111.2,105.3,.216,.464,.602,52.1,59.6,3.8,10.6,,.577,8.6,20.8,.165,,.554,9.6,84.8,.050
