,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
44,44,2023-01-20,,OKC,W,118,113,41,87,.471,12,38,.316,24,28,.857,13,53,25,1,2,15,17,,45,93,.484,16,40,.400,7,11,.636,8,36,21,4,1,9,20
45,45,2023-01-21,,PHI,L,127,129,46,84,.548,13,33,.394,22,29,.759,4,29,28,6,5,8,20,,49,93,.527,12,28,.429,19,23,.826,16,46,27,4,3,15,26
46,46,2023-01-23,,MEM,W,133,100,49,88,.557,22,40,.550,13,14,.929,10,53,37,10,5,24,11,,40,98,.408,12,36,.333,8,10,.800,10,31,28,14,3,15,21
47,47,2023-01-25,,TOR,L,95,113,35,73,.479,13,32,.406,12,13,.923,4,34,29,6,2,19,12,,48,97,.495,12,40,.300,5,7,.714,11,41,28,12,8,9,17
48,48,2023-01-28,@,MIN,L,110,117,37,82,.451,9,33,.273,27,36,.750,10,36,23,5,0,9,21,,42,80,.525,17,37,.459,16,21,.762,9,44,25,5,2,19,26
49,49,2023-01-30,@,MIN,W,118,111,47,99,.475,9,30,.300,15,22,.682,10,50,20,15,3,12,21,,43,92,.467,12,39,.308,13,25,.520,8,49,26,7,3,18,16
50,50,2023-02-01,@,SAS,W,119,109,48,90,.533,8,27,.296,15,19,.789,6,34,25,10,3,9,13,,48,88,.545,8,24,.333,5,7,.714,8,40,30,5,1,18,17
51,51,2023-02-03,@,IND,L,104,107,37,86,.430,13,38,.342,17,20,.850,11,49,24,6,5,19,15,,40,89,.449,17,41,.415,10,14,.714,9,47,28,13,5,16,18
52,52,2023-02-05,@,NOP,L,104,136,35,82,.427,11,42,.262,23,27,.852,11,38,23,5,5,15,22,,48,85,.565,14,26,.538,26,34,.765,12,48,26,11,3,10,23
53,53,2023-02-06,@,HOU,W,140,120,52,89,.584,21,41,.512,15,18,.833,7,35,38,9,5,10,22,,44,88,.500,13,32,.406,19,24,.792,11,39,27,5,4,13,15
54,54,2023-02-08,@,HOU,W,130,128,46,92,.500,10,30,.333,28,30,.933,10,31,29,10,4,9,15,,47,86,.547,10,22,.455,24,28,.857,15,44,25,4,7,19,21
55,55,2023-02-10,,DAL,L,114,122,39,72,.542,9,27,.333,27,32,.844,5,38,21,2,4,14,19,,43,88,.489,18,43,.419,18,19,.947,11,39,34,4,0,9,19
56,56,2023-02-11,,DAL,W,133,128,51,100,.510,8,32,.250,23,25,.920,11,50,22,9,0,7,17,,47,91,.516,20,51,.392,14,19,.737,7,43,27,4,4,15,19
57,57,2023-02-14,@,PHO,L,109,120,37,83,.446,14,38,.368,21,24,.875,13,40,23,8,4,17,21,,50,88,.568,7,22,.318,13,16,.813,8,37,33,12,4,13,17
58,58,2023-02-23,,POR,W,133,116,47,85,.553,14,34,.412,25,31,.806,12,49,27,9,4,18,16,,43,93,.462,16,38,.421,14,17,.824,9,33,26,12,3,12,23
59,59,2023-02-24,@,LAC,W,176,175,65,111,.586,18,41,.439,28,35,.800,12,43,33,18,3,15,28,,59,98,.602,26,45,.578,31,36,.861,7,42,39,8,3,25,27
60,60,2023-02-26,@,OKC,W,124,115,45,85,.529,18,43,.419,16,24,.667,13,48,32,7,1,19,21,,41,86,.477,16,40,.400,17,23,.739,9,37,24,10,0,14,19
61,61,2023-02-28,@,OKC,W,123,117,43,82,.524,15,42,.357,22,30,.733,8,51,34,3,4,19,21,,43,98,.439,11,35,.314,20,24,.833,12,42,28,9,1,10,23
62,62,2023-03-03,,LAC,W,128,127,46,87,.529,10,33,.303,26,26,1.000,9,45,26,3,2,11,22,,47,87,.540,14,41,.341,19,27,.704,6,32,31,7,3,7,24
63,63,2023-03-04,,MIN,L,134,138,49,89,.551,14,27,.519,22,30,.733,11,39,25,5,1,6,21,,48,80,.600,20,39,.513,22,31,.710,6,40,31,4,6,11,21
64,64,2023-03-06,,NOP,W,123,108,47,83,.566,16,38,.421,13,20,.650,6,33,39,7,3,10,12,,43,80,.538,11,29,.379,11,14,.786,7,40,29,6,4,16,19
65,65,2023-03-09,,NYK,W,122,117,44,84,.524,10,32,.313,24,32,.750,6,42,28,10,3,12,21,,42,101,.416,13,50,.260,20,31,.645,23,58,27,8,1,13,25
66,66,2023-03-11,@,PHO,W,128,119,41,85,.482,15,35,.429,31,37,.838,8,39,19,10,2,15,19,,44,89,.494,13,44,.295,18,22,.818,7,40,30,11,3,14,26
67,67,2023-03-13,,MIL,L,124,133,46,104,.442,21,50,.420,11,15,.733,15,45,31,4,2,9,21,,50,86,.581,15,33,.455,18,22,.818,5,43,29,2,4,12,18
68,68,2023-03-15,@,CHI,W,117,114,38,78,.487,18,42,.429,23,29,.793,5,45,26,6,3,19,19,,38,97,.392,16,42,.381,22,25,.880,13,48,28,13,4,14,24
69,69,2023-03-16,@,BRK,W,101,96,32,82,.390,13,41,.317,24,32,.750,13,57,22,2,5,12,17,,33,80,.413,14,39,.359,16,23,.696,3,41,20,8,4,6,22
70,70,2023-03-18,@,WAS,W,132,118,48,86,.558,22,37,.595,14,23,.609,7,44,34,7,7,8,22,,41,91,.451,13,36,.361,23,27,.852,12,46,27,6,5,9,18
71,71,2023-03-20,@,UTA,L,120,128,41,97,.423,19,52,.365,19,25,.760,8,43,28,5,3,6,20,,46,88,.523,16,36,.444,20,23,.870,6,48,33,3,8,12,23
72,72,2023-03-21,,BOS,L,109,132,39,81,.481,17,44,.386,14,21,.667,10,42,25,3,4,14,19,,49,92,.533,18,44,.409,16,23,.696,11,43,33,9,3,5,15
73,73,2023-03-24,,PHO,W,135,127,47,89,.528,13,39,.333,28,32,.875,5,33,29,6,3,4,23,,48,89,.539,9,29,.310,22,29,.759,12,43,33,2,7,12,25
74,74,2023-03-25,,UTA,W,121,113,44,95,.463,16,43,.372,17,21,.810,14,42,30,11,1,8,13,,47,91,.516,9,28,.321,10,16,.625,11,45,30,3,7,16,14
75,75,2023-03-27,,MIN,L,115,119,39,84,.464,5,27,.185,32,40,.800,12,42,16,4,4,10,23,,44,86,.512,9,24,.375,22,34,.647,11,40,33,6,3,6,27
76,76,2023-03-29,@,POR,W,120,80,42,92,.457,18,48,.375,18,24,.750,10,59,30,9,4,8,11,,30,93,.323,9,39,.231,11,12,.917,8,45,18,5,6,14,15
77,77,2023-03-31,@,POR,W,138,114,54,88,.614,19,39,.487,11,15,.733,8,41,38,11,7,13,21,,40,85,.471,19,38,.500,15,23,.652,9,33,29,9,6,18,15
78,78,2023-04-02,,SAS,L,134,142,49,103,.476,11,44,.250,25,32,.781,13,43,24,9,5,15,23,,52,98,.531,13,34,.382,25,29,.862,14,52,31,8,3,17,25
79,79,2023-04-04,@,NOP,W,121,103,46,91,.505,17,42,.405,12,15,.800,11,43,35,8,4,11,22,,37,84,.440,7,20,.350,22,27,.815,9,37,20,6,4,13,14
80,80,2023-04-05,@,DAL,L,119,123,46,106,.434,12,37,.324,15,19,.789,22,57,31,7,1,9,19,,44,89,.494,20,44,.455,15,18,.833,7,39,24,4,7,10,18
81,81,2023-04-07,,GSW,L,97,119,38,98,.388,11,39,.282,10,18,.556,18,40,24,10,3,12,16,,41,78,.526,16,36,.444,21,24,.875,10,47,36,6,7,24,22
82,82,2023-04-09,@,DEN,L,95,109,37,85,.435,11,43,.256,10,15,.667,10,34,24,7,6,15,18,,42,84,.500,7,28,.250,18,25,.720,15,51,25,11,2,16,15
